objid,acquisid,classif_id,objtime,latitude,longitude,depth_min,depth_max,objdate,classif_qual,sunpos,classif_when,classif_who,classif_auto_id,classif_auto_when,classif_auto_score,orig_id,object_link,complement_info,sample_id,project_id,images,free_columns_label,free_columns_width,free_columns_height,free_columns_bx,free_columns_by,free_columns_circ.,free_columns_area_exc,free_columns_area,free_columns_%area,free_columns_major,free_columns_minor,free_columns_y,free_columns_x,free_columns_convex_area,free_columns_perim.,free_columns_elongation,free_columns_perimareaexc,free_columns_perimmajor,free_columns_circex,free_columns_angle,free_columns_bounding_box_area,free_columns_eccentricity,free_columns_equivalent_diameter,free_columns_euler_number,free_columns_extent,free_columns_local_centroid_col,free_columns_local_centroid_row,free_columns_solidity,free_columns_meanhue,free_columns_meansaturation,free_columns_meanvalue,free_columns_stdhue,free_columns_stdsaturation,free_columns_stdvalue,classif_crossvalidation_id,similarity,random_value
583092088,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_53_634178_2,,,530575,12053,"[{'imgid': 682719005, 'objid': 583092088, 'imgrank': 38, 'width': 310, 'height': 91, 'orig_file_name': '19_28_53_634178_2.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9005.jpg', 'thumb_file_name': None}]",37.0,290.0,71.0,2288.0,1229.0,0.25295760780209786,11320.0,11320.0,0.0,292.1676643780587,58.75788694700874,1268.0698763250884,2450.6622791519435,15212.0,749.9015869776647,4.972399103486352,0.06624572323124246,2.566682348554863,0.25295760780209786,2.8832186910712068,20590.0,0.9795686305048801,120.05445283870999,1.0,0.5497814473045167,162.66227915194347,39.06987632508834,0.7441493557717591,61.86298586572438,57.42181978798587,132.69204946996467,58.432690952953166,40.74546822826643,66.38498548025073,,,0
583092089,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_53_634178_3,,,530575,12053,"[{'imgid': 682719006, 'objid': 583092089, 'imgrank': 39, 'width': 417, 'height': 296, 'orig_file_name': '19_28_53_634178_3.jpg', 'thumb_width': 400, 'thumb_height': 284, 'file_name': '68271/9006.jpg', 'thumb_file_name': '68271/9006_mini.jpg'}]",38.0,397.0,276.0,3381.0,1454.0,0.7425152179254779,77955.0,77955.0,0.0,392.11010346096185,255.48382807645308,1582.150432942082,3571.8869732538,79765.0,1148.6143571373725,1.5347746525217385,0.014734325664003239,2.9293158911211976,0.7425152179254779,17.11049180476033,109572.0,0.7585958576165656,315.0482323547136,1.0,0.7114500054758515,190.88697325380028,128.15043294208198,0.9773083432583213,23.22325700724777,132.29765890577897,53.362991469437496,32.7423683133381,36.53316114910233,49.231263611553985,,,0
583092090,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_53_634178_4,,,530575,12053,"[{'imgid': 682719007, 'objid': 583092090, 'imgrank': 40, 'width': 209, 'height': 222, 'orig_file_name': '19_28_53_634178_4.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9007.jpg', 'thumb_file_name': None}]",39.0,189.0,202.0,925.0,2008.0,0.6346100326426665,21640.0,21640.0,0.0,213.15616104813893,141.11966502869637,2097.7071626617376,1011.7051293900184,24399.0,654.6061684419097,1.5104639102196997,0.030249822940938528,3.071016879001092,0.6346100326426665,31.707015838393062,38178.0,0.7494612095006948,165.99067367797784,1.0,0.5668185866205668,86.70512939001848,89.70716266173753,0.8869215951473421,25.778558225508316,152.8783271719039,66.50776340110906,36.25165994734479,27.76657440400695,40.9369565664985,,,0
583092091,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_55_150357_0,,,530575,12053,"[{'imgid': 682719008, 'objid': 583092091, 'imgrank': 41, 'width': 216, 'height': 220, 'orig_file_name': '19_28_55_150357_0.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9008.jpg', 'thumb_file_name': None}]",40.0,196.0,210.0,2219.0,0.0,0.8315581908116552,30048.0,30048.0,0.0,208.0026163371231,185.08197394237501,108.81106895633653,2318.807075346113,30621.0,673.8549057834387,1.1238404902785637,0.022425948674901445,3.2396462970027216,0.8315581908116552,60.10258375454646,41160.0,0.4563390189828907,195.5972950738383,1.0,0.7300291545189505,99.80707534611288,108.81106895633653,0.9812873518173802,36.64852902023429,109.49291134185303,126.09994009584665,49.8695546520738,45.61239996632595,58.886660125006145,,,0
583092092,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_55_150357_1,,,530575,12053,"[{'imgid': 682719009, 'objid': 583092092, 'imgrank': 42, 'width': 161, 'height': 123, 'orig_file_name': '19_28_55_150357_1.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9009.jpg', 'thumb_file_name': None}]",41.0,141.0,103.0,3230.0,280.0,0.4838476318521389,8070.0,8070.0,0.0,149.4345011362462,77.69116266251383,329.8832713754647,3301.245600991326,9894.0,457.8122292025696,1.9234427187733245,0.056730139925968974,3.063631395169991,0.4838476318521389,174.21512094385827,14523.0,0.8542264560757591,101.36588738827655,1.0,0.5556703160504028,71.2456009913259,49.88327137546469,0.8156458459672529,68.57174721189591,53.0092936802974,196.87856257744733,58.027186678740115,38.1102787459424,46.061696935476654,,,0
583092093,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_55_150357_2,,,530575,12053,"[{'imgid': 682719010, 'objid': 583092093, 'imgrank': 43, 'width': 97, 'height': 208, 'orig_file_name': '19_28_55_150357_2.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9010.jpg', 'thumb_file_name': None}]",42.0,77.0,188.0,111.0,916.0,0.3592667290827364,5994.0,5994.0,0.0,203.17043021304906,40.075755495532185,1015.491991991992,145.01301301301302,7226.0,457.88329701443513,5.069659391341964,0.07639027310884804,2.2536906405833195,0.3592667290827364,106.82192436456103,14476.0,0.9803528364038471,87.36016157919218,1.0,0.4140646587455098,34.013013013013015,99.491991991992,0.8295045668419596,76.9622956289623,101.51951951951952,180.20904237570903,56.2443894489027,51.2413932586321,59.01498917448405,,,0
583092094,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_55_150357_3,,,530575,12053,"[{'imgid': 682719011, 'objid': 583092094, 'imgrank': 44, 'width': 188, 'height': 119, 'orig_file_name': '19_28_55_150357_3.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9011.jpg', 'thumb_file_name': None}]",43.0,168.0,99.0,2855.0,1840.0,0.42249278606333335,9364.0,9364.0,0.0,181.16870297480048,76.63716664409252,1884.5810551046561,2935.2388936351986,12414.0,527.747258045114,2.3639796577574237,0.056359168949713156,2.9130156002635874,0.42249278606333335,4.564110904766181,16632.0,0.9061224530776367,109.1907280720303,1.0,0.563011063011063,80.23889363519864,44.58105510465613,0.7543096503947156,64.88840239214011,19.562686885946178,196.0809483126869,37.82390285435676,18.994699576544996,61.36377326994435,,,0
583092095,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_56_661818_0,,,530575,12053,"[{'imgid': 682719012, 'objid': 583092095, 'imgrank': 45, 'width': 180, 'height': 196, 'orig_file_name': '19_28_56_661818_0.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9012.jpg', 'thumb_file_name': None}]",44.0,160.0,176.0,1877.0,78.0,0.8427939667696858,21567.0,21567.0,0.0,190.5097759697423,145.33623409800506,166.41609866926322,1958.4522186674085,21848.0,567.0731598529186,1.3108209191747406,0.02629355774344687,2.97660924205267,0.8427939667696858,125.0206759566754,28160.0,0.6465392600201599,165.71046213592928,1.0,0.7658735795454545,81.45221866740854,88.41609866926322,0.9871384108385207,27.118282561320537,127.31107710854546,79.95627579171882,38.892990178055385,35.40472039905028,52.73300462159344,,,0
583092096,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_56_661818_1,,,530575,12053,"[{'imgid': 682719013, 'objid': 583092096, 'imgrank': 46, 'width': 133, 'height': 126, 'orig_file_name': '19_28_56_661818_1.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9013.jpg', 'thumb_file_name': None}]",45.0,113.0,106.0,3168.0,194.0,0.49921814482457155,5852.0,5852.0,0.0,129.60229082744604,63.27181084284455,251.47095010252906,3217.25991114149,7114.0,383.8061325481597,2.048341735458688,0.06558546352497603,2.96141472575638,0.49921814482457155,135.1657195084757,11978.0,0.8727318989670407,86.31916250630663,1.0,0.4885623643346135,49.259911141490086,57.47095010252905,0.8226033174023053,72.17481203007519,63.00854408749146,183.86056049213943,59.25613472267299,45.599907912623216,53.635806731439466,,,0
583092097,1835272,,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,, ,,,,,,19_28_56_661818_2,,,530575,12053,"[{'imgid': 682719014, 'objid': 583092097, 'imgrank': 47, 'width': 114, 'height': 133, 'orig_file_name': '19_28_56_661818_2.jpg', 'thumb_width': None, 'thumb_height': None, 'file_name': '68271/9014.jpg', 'thumb_file_name': None}]",46.0,104.0,113.0,3952.0,691.0,0.8316465354458475,9015.0,9015.0,0.0,116.94721572084136,99.55502077722953,748.2147531891293,4000.8374930671102,9215.0,369.0782104868019,1.1746993251352906,0.04094045596082106,3.1559384138550963,0.8316465354458475,119.65128939982009,11752.0,0.5247089888986536,107.13661603666364,1.0,0.7671034717494895,48.83749306711037,57.214753189129226,0.9782962561041779,55.10981697171381,121.44669994453689,98.61475318912923,64.39389263661627,46.731864138146854,55.31931914075757,,,0
