objid,acquisid,objtime,latitude,longitude,depth_min,depth_max,objdate,orig_id,sample_id,project_id,images_imgid,images_objid,images_imgrank,images_width,images_height,images_orig_file_name,images_file_name,free_columns_label,free_columns_width,free_columns_height,free_columns_bx,free_columns_by,free_columns_circ.,free_columns_area_exc,free_columns_area,free_columns_%area,free_columns_major,free_columns_minor,free_columns_y,free_columns_x,free_columns_convex_area,free_columns_perim.,free_columns_elongation,free_columns_perimareaexc,free_columns_perimmajor,free_columns_circex,free_columns_angle,free_columns_bounding_box_area,free_columns_eccentricity,free_columns_equivalent_diameter,free_columns_euler_number,free_columns_extent,free_columns_local_centroid_col,free_columns_local_centroid_row,free_columns_solidity,free_columns_meanhue,free_columns_meansaturation,free_columns_meanvalue,free_columns_stdhue,free_columns_stdsaturation,free_columns_stdvalue,random_value
583092283,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_0,530575,12053,682719200,583092283,233,261,107,19_30_59_684573_0.jpg,68271/9200.jpg,232.0,241.0,97.0,3189.0,0.0,0.5799505946251127,16302.0,16302.0,0.0,229.8568062741854,97.63106114803722,38.666421298000245,3292.2560422034107,16473.0,594.3330444827409,2.35434096046191,0.03645767663371,2.585666503056641,0.5799505946251127,6.349651075119127,23377.0,0.9053119456628316,144.0706460673812,1.0,0.6973520982161954,103.25604220341064,38.666421298000245,0.9896193771626296,15.2730339835603,147.84989571831676,63.91037909458962,8.377670273037008,28.30334318343009,48.64191304891393,0
583092284,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_1,530575,12053,682719201,583092284,234,358,295,19_30_59_684573_1.jpg,68271/9201.jpg,233.0,338.0,275.0,2488.0,239.0,0.8117411986548496,67712.0,67712.0,0.0,342.7506963799183,255.29064508935892,383.281353379017,2653.6205251654064,68495.0,1023.8326112068524,1.3425901143378984,0.0151204012760936,2.9871058527974403,0.8117411986548496,155.6412785182896,92950.0,0.667255437412913,293.62151837545446,1.0,0.7284776761699838,165.62052516540643,144.28135337901702,0.9885685086502664,22.19680411153119,129.71826264177693,54.099170014177695,32.53835288549272,32.672314818609806,48.10049873951164,0
583092285,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_2,530575,12053,682719202,583092285,235,278,177,19_30_59_684573_2.jpg,68271/9202.jpg,234.0,258.0,157.0,1201.0,610.0,0.1986371709917208,13835.0,14026.0,0.0136175673748751,229.21003200098417,134.54640225923035,681.9848211058909,1351.1655222262375,24409.0,941.9797974644664,1.703576076002133,0.0680867218984074,4.109679621092771,0.1959322159325864,178.28777722858348,40506.0,0.8095865727576069,132.7225267293046,0.0,0.3415543376289932,150.1655222262378,71.98482110589086,0.5667991314679012,95.35220305147584,48.977969485241694,192.31534293455013,47.420443118569736,50.77677119352701,55.75611106561088,0
583092286,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_3,530575,12053,682719203,583092286,236,245,218,19_30_59_684573_3.jpg,68271/9203.jpg,235.0,225.0,198.0,2775.0,725.0,0.8328184323156195,33450.0,33450.0,0.0,239.23519343659265,179.03076216485383,820.9899252615844,2883.721644245142,33960.0,710.4406922210657,1.336279813277574,0.0212388846702859,2.9696328621874035,0.8328184323156195,31.324739288205905,44550.0,0.6633082811132253,206.37311542783667,1.0,0.7508417508417509,108.721644245142,95.98992526158446,0.984982332155477,26.014828101644245,129.04959641255604,93.88669656203288,37.45414361986944,41.14114126177617,50.503367136031976,0
583092287,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_4,530575,12053,682719204,583092287,237,360,304,19_30_59_684573_4.jpg,68271/9204.jpg,236.0,350.0,284.0,0.0,921.0,0.362893741703295,59571.0,68438.0,0.1295625237441188,361.40648426429607,236.59830757985063,1046.9837169092343,182.73735542461932,69480.0,1539.4438302826452,1.527510859908934,0.0258421686774209,4.259591062447159,0.3158763126772698,31.212697128785848,99400.0,0.7559236117981198,275.40543371440293,0.0,0.5993058350100604,182.73735542461932,125.98371690923436,0.8573834196891191,24.58995002776236,134.79772933165785,50.47044039860896,39.5522212718843,34.70968947888213,48.11611406601772,0
583092288,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_5,530575,12053,682719205,583092288,238,326,190,19_30_59_684573_5.jpg,68271/9205.jpg,237.0,306.0,170.0,1317.0,1571.0,0.5260623446279827,34013.0,34013.0,0.0,285.54818318156435,165.02206516747336,1661.6305530238435,1450.4575015435275,38398.0,901.38181771802,1.7303636510170597,0.0265010971604392,3.156671520984187,0.5260623446279827,170.93295549190378,52020.0,0.8160982353496817,208.10261083195732,1.0,0.6538446751249519,133.45750154352748,90.63055302384385,0.8858013438199906,59.161644077264576,67.90197865522006,182.5815717519772,58.07890024338793,50.1693135400054,50.41073729507491,0
583092289,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_6,530575,12053,682719206,583092289,239,252,180,19_30_59_684573_6.jpg,68271/9206.jpg,238.0,232.0,160.0,2921.0,1890.0,0.7703720778824487,26782.0,26782.0,0.0,223.03616457444932,154.355051385839,1968.5628780524232,3028.4604211784035,27524.0,660.961507501237,1.4449553971313138,0.0246793184788752,2.9634723532945637,0.7703720778824487,10.775448654475651,37120.0,0.7218372143394534,184.66158638736192,1.0,0.7214978448275862,107.4604211784034,78.56287805242327,0.9730417090539166,24.216301993876485,133.00141886341572,73.75759838697633,35.89320590238585,45.612510953472686,43.4348348990714,0
583092290,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_7,530575,12053,682719207,583092290,240,350,388,19_30_59_684573_7.jpg,68271/9207.jpg,239.0,330.0,368.0,3708.0,2650.0,0.8700708596408551,91392.0,91392.0,0.0,359.71678227959484,325.2876332687952,2840.1714701505603,3874.9934895833335,92152.0,1148.8986283848344,1.1058421700967336,0.0125711071908354,3.1938977689726946,0.8700708596408551,81.15568009313446,121440.0,0.4269225843335823,341.1215450135567,1.0,0.7525691699604743,166.99348958333334,190.17147015056025,0.9917527563156524,26.06756608893557,148.28788077731093,59.945290616246496,40.77900240506204,38.742525745344,57.438979165821,0
583092291,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_8,530575,12053,682719208,583092291,241,660,253,19_30_59_684573_8.jpg,68271/9208.jpg,240.0,640.0,243.0,1096.0,2797.0,0.4719980525145533,106855.0,106855.0,0.0,665.2111875511854,229.62618076904627,2948.098806794254,1438.0109213420055,114741.0,1686.6782822743016,2.896930939335016,0.0157847389665837,2.5355530902650645,0.4719980525145533,4.85515240831505,155520.0,0.9385317575312432,368.8522896128961,1.0,0.6870820473251029,342.0109213420056,151.0988067942539,0.931271297966725,20.208600439848396,146.06546254269804,56.78858265874316,27.225831424226563,38.81703687412262,51.69914758608797,0
583092292,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_59_684573_9,530575,12053,682719209,583092292,242,386,220,19_30_59_684573_9.jpg,68271/9209.jpg,241.0,366.0,210.0,2721.0,2830.0,0.7192611643055685,61836.0,61836.0,0.0,376.878478347116,218.2738631167188,2950.139675916941,2899.507843327512,62826.0,1039.3990616607232,1.7266312739679035,0.0168089634138806,2.757915671436687,0.7192611643055685,177.77062863889344,76860.0,0.8152121538331043,280.5923029739831,1.0,0.804527712724434,178.5078433275115,120.13967591694158,0.984242192722758,26.31758199107316,143.00939582120446,69.84923022187722,37.11948530561057,41.95386797795249,58.01475759939776,0
